127.0.0.1, 2020-05-15 14:12:32, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000642
127.0.0.1, 2020-05-15 14:12:32, POST, /admin/default/check_version, HTTP/1.1, 200, 0.625178
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/default/index, HTTP/1.1, 200, 0.962866
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/css/calendar.css, HTTP/1.1, 200, 0.037388
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.039207
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.039052
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/js/jquery.js, HTTP/1.1, 200, 0.051227
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/js/calendar.js, HTTP/1.1, 200, 0.051410
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.051422
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/js/web2py.js, HTTP/1.1, 200, 0.000980
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000800
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000485
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/images/background.jpg, HTTP/1.1, 404, 0.019176
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/images/favicon.png, HTTP/1.1, 200, 0.000582
127.0.0.1, 2020-05-15 14:12:59, GET, /voar_voar/static/images/favicon.ico, HTTP/1.1, 200, 0.000473
127.0.0.1, 2020-05-15 14:13:01, GET, /admin/default/site, HTTP/1.1, 200, 0.034513
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/, HTTP/1.1, 200, 0.013838
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.000463
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000658
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000387
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.026208
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.027076
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/js/jquery.js, HTTP/1.1, 200, 0.029608
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000406
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001637
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000331
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000330
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000322
127.0.0.1, 2020-05-15 14:15:12, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000352
